address,city,state,zip,lat,lon,status,days_on_market,list_price,rent_estimate,beds,baths,sqft,as_of,source
1200 E 6th St,Austin,TX,78702,30.26479,-97.72731,listed,12,615000,3100,3,2,1480,2026-09-01,EXAMPLE
1418 E Cesar Chavez St,Austin,TX,78702,30.25914,-97.72402,listed,4,729000,3400,3,2,1620,2026-09-01,EXAMPLE
2301 E 7th St,Austin,TX,78702,30.26241,-97.71583,foreclosure,186,398000,2350,2,1,1090,2026-09-01,EXAMPLE
908 Congress Ave,Austin,TX,78701,30.27122,-97.74276,listed,31,1250000,5200,2,2,1710,2026-09-01,EXAMPLE
501 W 5th St,Austin,TX,78701,30.26762,-97.74847,sold,58,880000,4100,2,2,1350,2026-09-01,EXAMPLE
3105 Guadalupe St,Austin,TX,78705,30.29669,-97.74158,listed,22,545000,2900,3,1,1240,2026-09-01,EXAMPLE
4412 Duval St,Austin,TX,78751,30.31165,-97.72519,listed,9,672000,3250,3,2,1580,2026-09-01,EXAMPLE
5800 Airport Blvd,Austin,TX,78752,30.32401,-97.70614,foreclosure,241,312000,2050,3,2,1320,2026-09-01,EXAMPLE
1901 S 1st St,Austin,TX,78704,30.24686,-97.75513,listed,17,798000,3600,3,2,1690,2026-09-01,EXAMPLE
2604 S Lamar Blvd,Austin,TX,78704,30.24088,-97.78121,listed,44,589000,2950,2,2,1180,2026-09-01,EXAMPLE
7100 Manchaca Rd,Austin,TX,78745,30.20713,-97.80336,foreclosure,132,341000,2200,3,2,1410,2026-09-01,EXAMPLE
9200 Research Blvd,Austin,TX,78758,30.37592,-97.71804,listed,73,425000,2400,3,2,1520,2026-09-01,EXAMPLE
11500 Jollyville Rd,Austin,TX,78759,30.41287,-97.75162,sold,26,510000,2750,4,2,1980,2026-09-01,EXAMPLE
1600 Barton Springs Rd,Austin,TX,78704,30.26377,-97.76425,listed,6,1050000,4600,3,3,2140,2026-09-01,EXAMPLE
3400 Manor Rd,Austin,TX,78723,30.28624,-97.70118,foreclosure,164,289000,1950,2,1,960,2026-09-01,EXAMPLE
8801 N Lamar Blvd,Austin,TX,78753,30.36052,-97.70429,listed,88,358000,2150,3,1,1280,2026-09-01,EXAMPLE
2200 W Slaughter Ln,Austin,TX,78748,30.17394,-97.82715,listed,35,462000,2600,4,2,1870,2026-09-01,EXAMPLE
6300 Cameron Rd,Austin,TX,78723,30.32118,-97.69423,foreclosure,203,276000,1880,2,1,1020,2026-09-01,EXAMPLE
1000 E Riverside Dr,Austin,TX,78704,30.24432,-97.73681,listed,14,695000,3300,3,2,1560,2026-09-01,EXAMPLE
4500 Spicewood Springs Rd,Austin,TX,78759,30.39017,-97.77284,sold,41,738000,3450,4,3,2260,2026-09-01,EXAMPLE
